CASE_NO|ECLI|NAME
394/92|ECLI:EU:C:1994:237|Judgment of 9 June 1994, Michielsen and Geybels Transport Service (C-394/92, ECR 1994 p. I-2497)
395/92|ECLI:EU:C:1993:629|Tête / EIB (C-395/92)
396/92|ECLI:EU:C:1994:307|Judgment of 9 August 1994, Bund Naturschutz in Bayern and others / Freistaat Bayern (C-396/92, ECR 1994 p. I-3717)
397/92|ECLI:EU:C:1993:299|Order of 12 July 1993, Gibraltar and Gibraltar Development / Council (C-397/92, ECR 1993 p. I-3981)
398/92|ECLI:EU:C:1994:52|Judgment of 10 February 1994, Mund & Fester / Hatrex Internationaal Transport (C-398/92, ECR 1994 p. I-467)          (SVXV/I-37 FIXV/I-45)
399/92|ECLI:EU:C:1994:415|Judgment of 15 December 1994, Stadt Lengerich and others / Helmig and others (C-399/92, C-409/92, C-425/92, C-34/93, C-50/93 and C-78/93, ECR 1994 p. I-5727)
400/92|ECLI:EU:C:1994:360|Judgment of 5 October 1994, Germany / Commission (C-400/92, ECR 1994 p. I-4701)
401/92|ECLI:EU:C:1994:220|Judgment of 2 June 1994, Tankstation 't Heukske and Boermans (C-401/92 and C-402/92, ECR 1994 p. I-2199)
402/92||Boermans (C-402/92) , see Case  C-401/92
403/92|ECLI:EU:C:1994:269|Judgment of 29 June 1994, Baux / Château de Calce (C-403/92, ECR 1994 p. I-2961)
404/92|ECLI:EU:C:1994:361|Judgment of 5 October 1994, X / Commission (C-404/92 P, ECR 1994 p. I-4737)
405/92|ECLI:EU:C:1993:906|Judgment of 24 November 1993, Mondiet / Armement Islais (C-405/92, ECR 1993 p. I-6133)
406/92|ECLI:EU:C:1994:400|Judgment of 6 December 1994, Tatry / Maciej Rataj (C-406/92, ECR 1994 p. I-5439)
407/92|ECLI:EU:C:1993:630|An Taisce / Commission (C-407/92)
408/92|ECLI:EU:C:1994:349|Judgment of 28 September 1994, Smith and others / Avdel Systems (C-408/92, ECR 1994 p. I-4435)
409/92||Schmidt (C-409/92) , see Case  C-399/92
410/92|ECLI:EU:C:1994:401|Judgment of 6 December 1994, Johnson / Chief Adjudication Officer (C-410/92, ECR 1994 p. I-5483)
411/92|ECLI:EU:C:1994:276|Judgment of 5 July 1994, France / Commission (C-411/92, ECR 1994 p. I-3069)
412/92|ECLI:EU:C:1994:308|Judgment of 9 August 1994, Parliament / Meskens (C-412/92 P, ECR 1994 p. I-3757)
413/92|ECLI:EU:C:1994:309|Judgment of 9 August 1994, Germany / Commission (C-413/92, ECR 1994 p. I-3781)
414/92|ECLI:EU:C:1994:221|Judgment of 2 June 1994, Solo Kleinmotoren / Boch (C-414/92, ECR 1994 p. I-2237)
415/92|ECLI:EU:C:1995:42|Removed from the register on 17 February 1995, Italy / Commission (C-415/92)
416/92|ECLI:EU:C:1994:194|Judgment of 17 May 1994, H. / Court of Auditors (C-416/92, ECR 1994 p. I-1741)
417/92|ECLI:EU:C:1994:28|Removed from the register on 27 January 1994, Ireland / Commission (C-417/92)
418/92|ECLI:EU:C:1993:188|Removed from the register on 17 May 1993, Commission / Ireland (C-418/92)
419/92|ECLI:EU:C:1994:62|Judgment of 23 February 1994, Scholz / Opera Universitaria di Cagliari and Cinzia Porcedda (C-419/92, ECR 1994 p. I-505)
420/92|ECLI:EU:C:1994:280|Judgment of 7 July 1994, Bramhill / Chief Adjudication Officer (C-420/92, ECR 1994 p. I-3191)
421/92|ECLI:EU:C:1994:187|Judgment of 5 May 1994, Habermann-Beltermann / Arbeiterwohlfahrt (C-421/92, ECR 1994 p. I-1657)
422/92|ECLI:EU:C:1995:125|Judgment of 10 May 1995, Commission / Germany (C-422/92, ECR 1995 p. I-1097)
423/92|ECLI:EU:C:1994:145|NTN / Council (C-423/92)
424/92|ECLI:EU:C:1993:169|Order of 3 May 1993, Ladbroke Racing / Commission (C-424/92, ECR 1993 p. I-2213)
425/92||Herzog (C-425/92) , see Case  C-399/92
426/92|ECLI:EU:C:1994:260|Judgment of 22 June 1994, Germany / Deutsches Milch-Kontor (C-426/92, ECR 1994 p. I-2757)
427/92|ECLI:EU:C:1993:349|Removed from the register on 1 September 1993, Commission / Luxembourg (C-427/92)
428/92|ECLI:EU:C:1994:222|Judgment of 2 June 1994, DAK / Lærerstandens Brandforsikring (C-428/92, ECR 1994 p. I-2259)
429/92|ECLI:EU:C:1993:300|Order of 12 July 1993, Assobacam and Compagnie fruitière Import / Commission (C-429/92 and C-25/93, ECR 1993 p. I-3991)
430/92|ECLI:EU:C:1994:373|Judgment of 26 October 1994, Netherlands / Commission (C-430/92, ECR 1994 p. I-5197)
431/92|ECLI:EU:C:1995:260|Judgment of 11 August 1995, Commission / Germany (C-431/92, ECR 1995 p. I-2189)
432/92|ECLI:EU:C:1994:277|Judgment of 5 July 1994, The Queen / Minister of Agriculture, Fisheries and Food, ex parte Anastasiou (C-432/92, ECR 1994 p. I-3087)
433/92|ECLI:EU:C:1994:176|Judgment of 28 April 1994, BALM / Frick and Murr (C-433/92 and C-434/92, ECR 1994 p. I-1543)
434/92||Murr (C-434/92) , see Case  C-433/92
435/92|ECLI:EU:C:1994:10|Judgment of 19 January 1994, Association pour la protection des animaux sauvages and others / Préfet de Maine-et-Loire and Préfet de la Loire-Atlantique (C-435/92, ECR 1994 p. I-67)
436/92|ECLI:EU:C:1993:631|Lenz / Commission (C-436/92)
437/92|ECLI:EU:C:1993:632|Guna / Council (C-437/92)
438/92|ECLI:EU:C:1994:298|Judgment of 14 July 1994, Rustica Semences / Finanzamt Kehl (C-438/92, ECR 1994 p. I-3519)
1/93|ECLI:EU:C:1994:127|Judgment of 12 April 1994, Halliburton Services / Staatssecretaris van Financiën (C-1/93, ECR 1994 p. I-1137)          (SVXV/I-71 FIXV/I-101)
2/93|ECLI:EU:C:1994:223|Judgment of 2 June 1994, Exportslachterijen van Oordegem / OBEA and Generale Bank (C-2/93, ECR 1994 p. I-2283)
3/93|ECLI:EU:C:1993:189|Removed from the register on 17 May 1993, Commission / Luxembourg (C-3/93)
4/93|ECLI:EU:C:1993:633|Harders / Council and Commission (C-4/93)
5/93|ECLI:EU:C:1999:364|Judgment of 8 July 1999, DSM / Commission (C-5/93 P, ECR 1999 p. I-4695)
6/93|ECLI:EU:C:1993:634|Lenz / Commission (C-6/93)
7/93|ECLI:EU:C:1994:350|Judgment of 28 September 1994, Bestuur van het Algemeen burgerlijk pensioenfonds / Beune (C-7/93, ECR 1994 p. I-4471)
8/93|ECLI:EU:C:1994:146|Ferchimex / Council (C-8/93)
9/93|ECLI:EU:C:1994:261|Judgment of 22 June 1994, IHT Internationale Heiztechnik / Ideal-Standard (C-9/93, ECR 1994 p. I-2789)          (SVXV/I-227 FIXV/I-265)
10/93|ECLI:EU:C:1994:147|Koyo Seiko / Council (C-10/93)
11/93|ECLI:EU:C:1994:206|Judgment of 19 May 1994, Siemens Nixdorf / Hauptzollamt Augsburg (C-11/93, ECR 1994 p. I-1945)
12/93|ECLI:EU:C:1994:336|Judgment of 20 September 1994, Bestuur van de Nieuwe Algemene Bedrijfsvereniging / Drake (C-12/93, ECR 1994 p. I-4337)
13/93|ECLI:EU:C:1994:39|Judgment of 3 February 1994, Office national de l'emploi / Minne (C-13/93, ECR 1994 p. I-371)
14/93|ECLI:EU:C:1993:156|Removed from the register on 27 April 1993, Commission / Belgium (C-14/93)
15/93|ECLI:EU:C:1994:264|Removed from the register on 28 June 1994, Smiet Offset / Commission (C-15/93)
16/93|ECLI:EU:C:1994:80|Judgment of 3 March 1994, Tolsma / Inspecteur der Omzetbelasting (C-16/93, ECR 1994 p. I-743)
17/93|ECLI:EU:C:1994:299|Judgment of 14 July 1994, Van der Veldt (C-17/93, ECR 1994 p. I-3537)
18/93|ECLI:EU:C:1994:195|Judgment of 17 May 1994, Corsica Ferries / Corpo dei piloti del porto di Genova (C-18/93, ECR 1994 p. I-1783)          (SVXV/I-113 FIXV/I-147)
19/93|ECLI:EU:C:1995:339|Judgment of 19 October 1995, Rendo and others / Commission (C-19/93 P, ECR 1995 p. I-3319)
19/93|ECLI:EU:C:1996:158|Order of 24 April 1996, Rendo and others / Commission (C-19/93 P, ECR 1996 p. I-1997)
20/93|ECLI:EU:C:1993:883|Judgment of 16 November 1993, Deutscher Kraftverkehr and Mobil Oil / Générale de Banque and others (C-20/93 and C-21/93, ECR 1993 p. I-5727)
21/93||Deutscher Kraftverkehr (C-21/93) , see Case  C-21/93
22/93|ECLI:EU:C:1994:164|Judgment of 21 April 1994, Campogrande / Commission (C-22/93 P, ECR 1994 p. I-1375)
23/93|ECLI:EU:C:1994:362|Judgment of 5 October 1994, TV10 / Commissariaat voor de Media (C-23/93, ECR 1994 p. I-4795)          (SVXVI/I-159 FIXVI/I-161)
24/93|ECLI:EU:C:1993:353|Removed from the register on 13 September 1993, Commerzbank Frankfurt (C-24/93)
25/93||Compagnie fruitière import / Commission (C-25/93) , see Case  C-429/92
26/93|ECLI:EU:C:1993:635|Murgia Messapica / Commission (C-26/93)
27/93|ECLI:EU:C:1993:636|Trelhu / Council and Commission (C-27/93)
28/93|ECLI:EU:C:1994:351|Judgment of 28 September 1994, Van den Akker and others / Stichting Shell Pensioenfonds (C-28/93, ECR 1994 p. I-4527)
29/93|ECLI:EU:C:1994:207|Judgment of 19 May 1994, Ospig Textil-Gesellschaft / Hauptzollamt Bremen-Freihafen (C-29/93, ECR 1994 p. I-1963)
30/93|ECLI:EU:C:1994:224|Judgment of 2 June 1994, AC-ATEL Electronics / Hauptzollamt München-Mitte (C-30/93, ECR 1994 p. I-2305)
31/93|ECLI:EU:C:1993:937|Judgment of 15 December 1993, Commission / Belgium (C-31/93, ECR 1993 p. I-6825)
32/93|ECLI:EU:C:1994:300|Judgment of 14 July 1994, Webb / EMO Air Cargo (C-32/93, ECR 1994 p. I-3567)          (SVXVI/I-35 FIXVI/I-35)
33/93|ECLI:EU:C:1994:225|Judgment of 2 June 1994, Empire Stores / Commissioners of Customs and Excise (C-33/93, ECR 1994 p. I-2329)
34/93||Lange (C-34/93) , see Case  C-399/92
35/93|ECLI:EU:C:1994:252|Judgment of 16 June 1994, Develop Dr. Eisbein / Hautpzollamt Stuttgart-West (C-35/93, ECR 1994 p. I-2655)
36/93|ECLI:EU:C:1993:637|O'Dwyer / Council (C-36/93)
37/93|ECLI:EU:C:1993:911|Judgment of 1 December 1993, Commission / Belgium (C-37/93, ECR 1993 p. I-6295)
38/93|ECLI:EU:C:1994:188|Judgment of 5 May 1994, Glawe / Finanzamt Hamburg-Barmbek-Uhlenhorst (C-38/93, ECR 1994 p. I-1679)
39/93|ECLI:EU:C:1994:253|Judgment of 16 June 1994, S.F.E.I. and others / Commission (C-39/93 P, ECR 1994 p. I-2681)
40/93|ECLI:EU:C:1995:157|Judgment of 1 June 1995, Commission / Italy (C-40/93, ECR 1995 p. I-1319)
41/93|ECLI:EU:C:1994:196|Judgment of 17 May 1994, France / Commission (C-41/93, ECR 1994 p. I-1829)          (SVXV/I-129 FIXV/I-165)
42/93|ECLI:EU:C:1994:326|Judgment of 14 September 1994, Spain / Commission (C-42/93, ECR 1994 p. I-4175)
43/93|ECLI:EU:C:1994:310|Judgment of 9 August 1994, Vander Elst / Office des migrations internationales (C-43/93, ECR 1994 p. I-3803)          (SVXVI/I-59 FIXVI/I-59)
44/93|ECLI:EU:C:1994:311|Judgment of 9 August 1994, Namur-Les assurances du crédit / Office national du ducroire and Belgian State (C-44/93, ECR 1994 p. I-3829)
45/93|ECLI:EU:C:1994:101|Judgment of 15 March 1994, Commission / Spain (C-45/93, ECR 1994 p. I-911)
46/93|ECLI:EU:C:1996:79|Judgment of 5 March 1996, Brasserie du pêcheur / Bundesrepublik Deutschland and The Queen / Secretary of State for Transport, ex parte Factortame and others (C-46/93 and C-48/93, ECR 1996 p. I-1029)
47/93|ECLI:EU:C:1994:181|Judgment of 3 May 1994, Commission / Belgium (C-47/93, ECR 1994 p. I-1593)
48/93||Factortame (C-48/93) , see Case  C-46/93
49/93|ECLI:EU:C:1993:638|Walsh / Council and Commission (C-49/93)
50/93||Kussfeld (C-50/93) , see Case  C-399/92
51/93|ECLI:EU:C:1994:312|Judgment of 9 August 1994, Meyhui / Schott Zwiesel Glaswerke (C-51/93, ECR 1994 p. I-3879)
52/93|ECLI:EU:C:1994:301|Judgment of 14 July 1994, Commission / Netherlands (C-52/93, ECR 1994 p. I-3591)
53/93|ECLI:EU:C:1994:50|Removed from the register on 9 February 1994, Kraft Foods (C-53/93)
54/93|ECLI:EU:C:1993:186|Removed from the register on 14 May 1993, Bab Le Club 7 (C-54/93)
55/93|ECLI:EU:C:1994:363|Judgment of 5 October 1994, Van Schaik (C-55/93, ECR 1994 p. I-4837)
56/93|ECLI:EU:C:1996:64|Judgment of 29 February 1996, Belgium / Commission (C-56/93, ECR 1996 p. I-723)
57/93|ECLI:EU:C:1994:352|Judgment of 28 September 1994, Vroege / NCIV (C-57/93, ECR 1994 p. I-4541)
58/93|ECLI:EU:C:1994:160|Judgment of 20 April 1994, Yousfi / Belgian State (C-58/93, ECR 1994 p. I-1353)
59/93|ECLI:EU:C:1993:639|Ladbroke Racing / Commission (C-59/93)
60/93|ECLI:EU:C:1994:271|Judgment of 29 June 1994, Aldewereld / Staatssecretaris van Financiën (C-60/93, ECR 1994 p. I-2991)
61/93|ECLI:EU:C:1994:302|Judgment of 14 July 1994, Commission / Netherlands (C-61/93, ECR 1994 p. I-3607)
62/93|ECLI:EU:C:1995:223|Judgment of 6 July 1995, BP Soupergaz / Greek State (C-62/93, ECR 1995 p. I-1883)
63/93|ECLI:EU:C:1996:51|Judgment of 15 February 1996, Duff and others (C-63/93, ECR 1996 p. I-569)
64/93|ECLI:EU:C:1993:266|Order of 28 June 1993, Donatab and others / Commission (C-64/93, ECR 1993 p. I-3595)
64/93|ECLI:EU:C:1993:295|Order of 9 July 1993, Donatab and others / Commission (C-64/93 R, ECR 1993 p. I-3955)
65/93|ECLI:EU:C:1995:91|Judgment of 30 March 1995, Parliament / Council (C-65/93, ECR 1995 p. I-643)
66/93|ECLI:EU:C:1993:640|Frinil / Commission (C-66/93)
67/93|ECLI:EU:C:1993:641|Keane / Council (C-67/93)
68/93|ECLI:EU:C:1995:61|Judgment of 7 March 1995, Shevill and others / Presse Alliance (C-68/93, ECR 1995 p. I-415)
69/93|ECLI:EU:C:1994:226|Judgment of 2 June 1994, Punto Casa and PPV (C-69/93 and C-258/93, ECR 1994 p. I-2355)
70/93|ECLI:EU:C:1995:344|Judgment of 24 October 1995, Bayerische Motorenwerke / ALD (C-70/93, ECR 1995 p. I-3439)
71/93|ECLI:EU:C:1994:120|Judgment of 24 March 1994, Van Poucke / Rijksinstituut voor de Sociale Verzekeringen der Zelfstandigen and others (C-71/93, ECR 1994 p. I-1101)
72/93|ECLI:EU:C:1993:884|Removed from the register on 16 November 1993, Koechlin Pandini (C-72/93 and C-73/93)
73/93||Albanese (C-73/93) , see Case  C-72/93
74/93|ECLI:EU:C:1995:200|Removed from the register on 29 June 1995, Commission / Council (C-74/93 and C-75/93)
75/93||Commission / Council (C-75/93) , see Case  C-74/93
76/93|ECLI:EU:C:1993:880|Order of 15 November 1993, Scaramuzza / Commission (C-76/93 P, ECR 1993 p. I-5715)
76/93|ECLI:EU:C:1993:881|Order of 15 November 1993, Scaramuzza / Commission (C-76/93 P, ECR 1993 p. I-5721)
76/93|ECLI:EU:C:1994:371|Judgment of 20 October 1994, Scaramuzza / Commission (C-76/93 P, ECR 1994 p. I-5173)
77/93|ECLI:EU:C:1993:361|Removed from the register on 15 September 1993, Commission / Luxembourg (C-77/93)
78/93||Ludewig (C-78/93) , see Case  C-399/92
79/93|ECLI:EU:C:1993:642|Lenz / Commission (C-79/93)
80/93|ECLI:EU:C:1993:643|Tiercé Ladbroke / Commission (C-80/93)
81/93|ECLI:EU:C:1993:644|O'Donovan / Council and Commission (C-81/93)
82/93|ECLI:EU:C:1993:645|Grace / Council and Commission (C-82/93)
83/93|ECLI:EU:C:1993:646|Hayden / Council and Commission (C-83/93)
84/93|ECLI:EU:C:1993:647|Murphy / Council and Commission (C-84/93)
85/93|ECLI:EU:C:1993:648|Fitzgerald / Council and Commission (C-85/93)
86/93|ECLI:EU:C:1993:649|O'Connor / Council and Commission (C-86/93)
87/93|ECLI:EU:C:1993:650|Walsh / Council and Commission (C-87/93)
88/93|ECLI:EU:C:1993:651|Hartnett / Council and Commission (C-88/93)
89/93|ECLI:EU:C:1993:652|O'Shea / Council and Commission (C-89/93)
90/93|ECLI:EU:C:1993:653|Donovan / Council and Commission (C-90/93)
91/93|ECLI:EU:C:1993:654|Sheehan / Council and Commission (C-91/93)
92/93|ECLI:EU:C:1993:655|Hayes / Council and Commission (C-92/93)
93/93|ECLI:EU:C:1993:656|Coughlan / Council and Commission (C-93/93)
94/93|ECLI:EU:C:1993:657|Fives / Council and Commission (C-94/93)
95/93|ECLI:EU:C:1993:658|Hudson / Council and Commission (C-95/93)
96/93|ECLI:EU:C:1993:659|Patterson / Council and Commission (C-96/93)
97/93|ECLI:EU:C:1993:660|Forristal / Council and Commission (C-97/93)
98/93|ECLI:EU:C:1993:661|O'Donoghue / Council and Commission (C-98/93)
99/93|ECLI:EU:C:1993:662|Fitzgerald / Council and Commission (C-99/93)
100/93|ECLI:EU:C:1993:663|O'Callaghan / Council and Commission (C-100/93)
101/93|ECLI:EU:C:1993:664|Twohill / Council and Commission (C-101/93)
102/93|ECLI:EU:C:1993:665|Whooley / Council and Commission (C-102/93)
103/93|ECLI:EU:C:1993:666|Bowe / Council and Commission (C-103/93)
104/93|ECLI:EU:C:1993:228|Removed from the register on 8 June 1993, Le Dryat (C-104/93)
105/93|ECLI:EU:C:1993:667|Campo Ebro Industrial / Council (C-105/93)
106/93|ECLI:EU:C:1993:668|Cronin / Council (C-106/93)
107/93|ECLI:EU:C:1993:301|Order of 12 July 1993, AEFMA / Commission (C-107/93, ECR 1993 p. I-3999)
107/93|ECLI:EU:C:1993:326|Order of 16 July 1993, AEFMA / Commission (C-107/93 R, ECR 1993 p. I-4177)
108/93|ECLI:EU:C:1993:669|Austin / Council and Commission (C-108/93)
109/93|ECLI:EU:C:1993:670|Reid / Council and Commission (C-109/93)
110/93|ECLI:EU:C:1993:671|Leegan / Council and Commission (C-110/93)
111/93|ECLI:EU:C:1993:672|Rea / Council and Commission (C-111/93)
112/93|ECLI:EU:C:1993:673|Carroll / Council and Commission (C-112/93)
113/93|ECLI:EU:C:1993:674|Walsh / Council and Commission (C-113/93)
114/93|ECLI:EU:C:1993:675|McNamara / Council and Commission (C-114/93)
115/93|ECLI:EU:C:1993:676|Hyland / Council and Commission (C-115/93)
116/93|ECLI:EU:C:1993:677|Ruane / Council and Commission (C-116/93)
117/93|ECLI:EU:C:1993:678|Kearney / Council and Commission (C-117/93)
118/93|ECLI:EU:C:1993:679|Meade / Council and Commission (C-118/93)
119/93|ECLI:EU:C:1993:680|Connaughton / Council and Commission (C-119/93)
120/93|ECLI:EU:C:1993:681|Doheny / Council and Commission (C-120/93)
121/93|ECLI:EU:C:1993:682|McFadden / Council and Commission (C-121/93)
122/93|ECLI:EU:C:1993:683|McConnon / Council and Commission (C-122/93)
123/93|ECLI:EU:C:1993:684|Ahern / Council and Commission (C-123/93)
124/93|ECLI:EU:C:1993:685|Scott / Council and Commission (C-124/93)
125/93|ECLI:EU:C:1993:686|Fitzgerald / Council and Commission (C-125/93)
126/93|ECLI:EU:C:1993:687|O'Connor / Council and Commission (C-126/93)
127/93|ECLI:EU:C:1993:897|Removed from the register on 17 November 1993, SIVA (C-127/93)
128/93|ECLI:EU:C:1994:353|Judgment of 28 September 1994, Fisscher / Voorhuis Hengelo and Stichting Bedrijfspensioenfonds voor de Detailhandel (C-128/93, ECR 1994 p. I-4583)          (SVXVI/I-127 FIXVI/I-129)
129/93|ECLI:EU:C:1993:688|Reidy / Council (C-129/93)
130/93|ECLI:EU:C:1994:281|Judgment of 7 July 1994, Lamaire / Nationale Dienst voor Afzet van Land- en Tuinbouwprodukten (C-130/93, ECR 1994 p. I-3215)
131/93|ECLI:EU:C:1994:290|Judgment of 13 July 1994, Commission / Germany (C-131/93, ECR 1994 p. I-3303)
132/93|ECLI:EU:C:1994:254|Judgment of 16 June 1994, Steen / Deutsche Bundespost (C-132/93, ECR 1994 p. I-2715)
133/93|ECLI:EU:C:1994:364|Judgment of 5 October 1994, Crispoltoni and others / Fattoria Autonoma Tabacchi and others (C-133/93, C-300/93 and C-362/93, ECR 1994 p. I-4863)
134/93|ECLI:EU:C:1993:925|Removed from the register on 9 December 1993, Toepfer (C-134/93)
135/93|ECLI:EU:C:1995:201|Judgment of 29 June 1995, Spain / Commission (C-135/93, ECR 1995 p. I-1651)
136/93|ECLI:EU:C:1994:416|Judgment of 15 December 1994, Transáfrica / Administración del Estado español (C-136/93, ECR 1994 p. I-5757)
137/93|ECLI:EU:C:1993:689|O'Connell / Council and Commission (C-137/93)
138/93|ECLI:EU:C:1993:690|Connell / Council and Commission (C-138/93)
139/93|ECLI:EU:C:1993:691|McEvoy / Council and Commission (C-139/93)
140/93|ECLI:EU:C:1993:692|Walsh / Council and Commission (C-140/93)
141/93|ECLI:EU:C:1993:693|Cummins / Council and Commission (C-141/93)
142/93|ECLI:EU:C:1993:694|Shanahan / Council and Commission (C-142/93)
143/93|ECLI:EU:C:1996:45|Judgment of 13 February 1996, Gebroeders van Es Douane Agenten / Inspecteur der Invoerrechten en Accijnzen (C-143/93, ECR 1996 p. I-431)
144/93|ECLI:EU:C:1994:354|Judgment of 28 September 1994, Pfanni Werke / Landeshauptstadt München (C-144/93, ECR 1994 p. I-4605)
145/93|ECLI:EU:C:1993:695|Buralux / Council (C-145/93)
146/93|ECLI:EU:C:1994:282|Judgment of 7 July 1994, McLachlan / Caisse nationale d'assurance vieillesse des travailleurs salariés de la région d'Ile-de-France (C-146/93, ECR 1994 p. I-3229)
147/93|ECLI:EU:C:1993:696|FRSEA / Council (C-147/93)
148/93|ECLI:EU:C:1994:123|Judgment of 24 March 1994, 3M Medica / Oberfinanzdirektion Frankfurt am Main (C-148/93, ECR 1994 p. I-1123)
149/93|ECLI:EU:C:1993:329|Removed from the register on 30 July 1993, Octapharma / Commission (C-149/93)
150/93|ECLI:EU:C:1994:128|Judgment of 12 April 1994, Directeur général des douanes et droits indirects / Superior France and Danzas (C-150/93, ECR 1994 p. I-1161)
151/93|ECLI:EU:C:1994:365|Judgment of 5 October 1994, Voogd Vleesimport en -export (C-151/93, ECR 1994 p. I-4915)
152/93|ECLI:EU:C:1993:697|O'Dwyer / Council (C-152/93)
153/93|ECLI:EU:C:1994:240|Judgment of 9 June 1994, Germany / Delta Schiffahrts- und Speditionsgesellschaft (C-153/93, ECR 1994 p. I-2517)
154/93|ECLI:EU:C:1994:51|Judgment of 9 February 1994, Tawil-Albertini / Ministre des Affaires sociales (C-154/93, ECR 1994 p. I-451)          (SVTillägg/00111 FIXV/I-37)
155/93|ECLI:EU:C:1993:920|Removed from the register on 8 December 1993, van den Berk (C-155/93)
156/93|ECLI:EU:C:1995:238|Judgment of 13 July 1995, Parliament / Commission (C-156/93, ECR 1995 p. I-2019)
157/93|ECLI:EU:C:1993:698|McFadden / Council and Commission (C-157/93)
158/93|ECLI:EU:C:1993:699|Merrigan / Council and Commission (C-158/93)
159/93|ECLI:EU:C:1993:700|Hennigan / Council and Commission (C-159/93)
160/93|ECLI:EU:C:1993:701|Brennan / Council and Commission (C-160/93)
161/93|ECLI:EU:C:1993:702|Murray / Council and Commission (C-161/93)
162/93|ECLI:EU:C:1993:703|Conboy / Council and Commission (C-162/93)
163/93|ECLI:EU:C:1993:704|English / Council and Commission (C-163/93)
164/93|ECLI:EU:C:1993:705|Strong / Council and Commission (C-164/93)
165/93|ECLI:EU:C:1993:706|Fox / Council and Commission (C-165/93)
166/93|ECLI:EU:C:1993:707|O'Donnell / Council and Commission (C-166/93)
167/93|ECLI:EU:C:1993:708|Wafer Zoo / Commission (C-167/93)
168/93|ECLI:EU:C:1993:302|Order of 12 July 1993, Gibraltar and Gibraltar Development / Council (C-168/93, ECR 1993 p. I-4009)
169/93|ECLI:EU:C:1993:709|Finnigan / Council and Commission (C-169/93)
170/93|ECLI:EU:C:1993:710|Tully / Council and Commission (C-170/93)
171/93|ECLI:EU:C:1993:711|Fahy / Council and Commission (C-171/93)
172/93|ECLI:EU:C:1993:712|McCullough / Council and Commission (C-172/93)
173/93|ECLI:EU:C:1993:713|Conway / Council and Commission (C-173/93)
174/93|ECLI:EU:C:1993:714|Fitzachery / Council and Commission (C-174/93)
175/93|ECLI:EU:C:1993:715|O'Neill / Council and Commission (C-175/93)
176/93|ECLI:EU:C:1993:716|Richmond / Council and Commission (C-176/93)
177/93|ECLI:EU:C:1993:717|Folan / Council and Commission (C-177/93)
178/93|ECLI:EU:C:1993:718|Darcy / Council and Commission (C-178/93)
179/93|ECLI:EU:C:1993:719|O'Halloran / Council and Commission (C-179/93)
180/93|ECLI:EU:C:1993:720|Blair / Council and Commission (C-180/93)
181/93|ECLI:EU:C:1993:721|Ryan / Council and Commission (C-181/93)
182/93|ECLI:EU:C:1993:722|Hogan / Council and Commission (C-182/93)
183/93|ECLI:EU:C:1993:723|Boyce / Council and Commission (C-183/93)
184/93|ECLI:EU:C:1993:724|Marry / Council and Commission (C-184/93)
185/93|ECLI:EU:C:1993:725|Elkin / Council and Commission (C-185/93)
186/93|ECLI:EU:C:1994:304|Judgment of 14 July 1994, Unaprol / AIMA and Ministero dell'agricoltura e delle foreste (C-186/93, ECR 1994 p. I-3615)
187/93|ECLI:EU:C:1994:265|Judgment of 28 June 1994, Parliament / Council (C-187/93, ECR 1994 p. I-2857)          (SVXV/I-249 FIXV/I-289)
188/93|ECLI:EU:C:1993:726|Wyness / Council and Commission (C-188/93)
189/93|ECLI:EU:C:1993:727|Carroll / Council and Commission (C-189/93)
190/93|ECLI:EU:C:1993:728|Robinson / Council and Commission (C-190/93)
191/93|ECLI:EU:C:1993:729|O'Malley / Council and Commission (C-191/93)
192/93|ECLI:EU:C:1993:730|Whitten / Council and Commission (C-192/93)
193/93|ECLI:EU:C:1993:731|Lynn / Council and Commission (C-193/93)
194/93|ECLI:EU:C:1993:732|McMenamin / Council and Commission (C-194/93)
195/93|ECLI:EU:C:1993:733|Roche / Council and Commission (C-195/93)
196/93|ECLI:EU:C:1993:734|McCutcheon / Council and Commission (C-196/93)
197/93|ECLI:EU:C:1993:735|Hutchinson / Council and Commission (C-197/93)
198/93|ECLI:EU:C:1993:736|Jenkinson / Council and Commission (C-198/93)
199/93|ECLI:EU:C:1993:737|Neville / Council and Commission (C-199/93)
200/93|ECLI:EU:C:1993:738|Foley / Council and Commission (C-200/93)
201/93|ECLI:EU:C:1993:739|Kyne / Council and Commission (C-201/93)
202/93|ECLI:EU:C:1993:740|Hickey / Council and Commission (C-202/93)
203/93|ECLI:EU:C:1993:741|O'Brien / Council and Commission (C-203/93)
204/93|ECLI:EU:C:1993:742|Horgan / Council and Commission (C-204/93)
205/93|ECLI:EU:C:1993:743|Fitzgerald / Council and Commission (C-205/93)
206/93|ECLI:EU:C:1993:744|Gilliland / Council and Commission (C-206/93)
207/93|ECLI:EU:C:1993:745|Hessin / Council and Commission (C-207/93)
208/93|ECLI:EU:C:1993:746|Doyle / Council and Commission (C-208/93)
209/93|ECLI:EU:C:1993:747|Cronin / Council and Commission (C-209/93)
210/93|ECLI:EU:C:1993:748|Hogg / Council and Commission (C-210/93)
211/93|ECLI:EU:C:1993:749|Ryan / Council and Commission (C-211/93)
212/93|ECLI:EU:C:1993:750|O'Loughlin / Council and Commission (C-212/93)
213/93|ECLI:EU:C:1993:751|Dineen / Council and Commission (C-213/93)
